,event_num,complaint_num,shift,tencode,tencode_desc,tencode_suffix,tencode_suffix_desc,disposition_code,disposition_desc,block,st_name,unit_disp,sector,zone,RPA,lat,lng,map_loc,call_date,call_time
4554,PD202000360036,,,87,,W,WARRANT ASSISTANCE ESCORT,11,,,,,W,113,5235.0,,,,05/04/2020,10:47:33 AM
4555,PD202000177710,,,93,,,,9,,,,821B,MT,821,8027.0,,,,03/03/2020,10:12:42 PM
4556,PD202000357758,,,87,,P,PROGRESS,4,,,,622A9,N,611,4411.0,,,,05/03/2020,05:11:41 PM
4557,PD202000356588,,,43,,P,PROGRESS,4,,600.0,MYATT DR,727C,715,727,1721.0,,,,05/03/2020,06:12:07 AM
4558,PD202000177363,,,43,,P,PROGRESS,4,,,,223C,E,213,1209.0,,,,03/03/2020,08:26:15 PM
4559,PD202000358731,,,96,,,,15,,,,423C,C,423N,4025.0,,,,05/03/2020,10:47:22 PM
4560,PD202000358048,,,87,,B,BANK/SECURITY ESCORT,4,,,,535B,H,533,8991.0,,,,05/03/2020,06:30:01 PM
4561,PD202000357491,,,44,,P,PROGRESS,11,,,,,W,123K,4703.0,,,,05/03/2020,04:22:31 PM
4562,PD202000359104,,,43,,P,PROGRESS,4,,,BROADMOOR DR,225C,,,,,,,05/04/2020,03:31:06 AM
4563,PD202000358691,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,55S89,MT,833,,,,,05/03/2020,10:19:47 PM
4564,PD202000177300,20200152697.0,,83,,P,PROGRESS,6,,,,554B,,,,,,,03/03/2020,08:05:36 PM
4565,PD202000176738,,,15,,P,PROGRESS,15,,2500.0,OLD HICKORY BLVD,2912,,118I,0.0,36.052,-86.891,POINT (-86.891 36.052),03/03/2020,04:01:47 PM
4566,PD202000358406,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,8200.0,GORDON LN,522C,,,,,,,05/03/2020,08:12:29 PM
4567,PD202000176345,,,45,,P,PROGRESS,1T,,,CENTRAL PKE,517B,,521,9531.0,36.187,-86.632,POINT (-86.632 36.187),03/03/2020,12:54:04 PM
4568,PD202000359577,,,43,,P,PROGRESS,4,,200.0,LARGO DR,EAPR,,315Z,0.0,36.084,-86.706,POINT (-86.706 36.084),05/04/2020,07:52:52 AM
4569,PD202000360857,,,57,,R,REPORT,1C,,,,725B,M,725K,2105.0,,,,05/04/2020,03:40:23 PM
4570,PD202000177677,,,43,,P,PROGRESS,11,,,,726B,M,721K,2003.0,,,,03/03/2020,10:00:47 PM
4571,PD202000356837,,,96,,,,15,,1200.0,BROADWAY,423A,,,,,,,05/03/2020,09:36:17 AM
4572,PD202000356827,,,96,,,,15,,,,215A,E,213N,1263.0,,,,05/03/2020,09:26:57 AM
4573,PD202000359115,,,96,,,,12,,2300.0,21ST AV S,815C,,114W,0.0,36.128,-86.803,POINT (-86.803 36.128),05/04/2020,03:34:27 AM
4574,PD202000177130,20200152522.0,,93,,,,6,,,,316B,S,311,8149.0,,,,03/03/2020,07:00:59 PM
4575,PD202000361697,,,87,,P,PROGRESS,6,,,,323B,S,323,8851.0,,,,05/04/2020,09:18:30 PM
4576,PD202000176447,,,43,,P,PROGRESS,10,,,,825A,MT,811,6719.0,,,,03/03/2020,01:42:07 PM
4577,PD202000177772,,,88,,PW,,5,,,,621B,N,621,3019.0,,,,03/03/2020,10:38:30 PM
4578,PD202000175407,,,43,,P,PROGRESS,11,,,,227C,E,227,,,,,03/03/2020,04:33:47 AM
4579,PD202000359807,,,44,,P,PROGRESS,6,,,,821A,MT,811N,6631.0,,,,05/04/2020,09:22:53 AM
4580,PD202000175297,,,71,,A,ALARM,12,,2500.0,LEBANON PKE,515C,,332U,0.0,36.169000000000004,-86.68,POINT (-86.68 36.169),03/03/2020,02:37:46 AM
4581,PD202000360775,,,43,,PM,,11,,800.0,DOVER GLEN DR,320A,,325,8891.0,36.076,-86.655,POINT (-86.655 36.076),05/04/2020,03:15:27 PM
4582,PD202000362043,,,43,,R,REPORT,2,,,,GVPD,M,725,2129.0,,,,05/04/2020,11:47:19 PM
4583,PD202000361251,,,44,,P,PROGRESS,6,,,,423B,C,425,4051.0,,,,05/04/2020,05:56:36 PM
4584,PD202000175165,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,315C,E,213,1219.0,,,,03/03/2020,01:47:19 AM
4585,PD202000358109,,,43,,P,PROGRESS,4,,,,413B,C,413,4217.0,,,,05/03/2020,06:43:53 PM
4586,PD202000360911,,,96,,,,12,,,,422B,C,421K,4105.0,,,,05/04/2020,03:58:54 PM
4587,PD202000176326,,,87,,P,PROGRESS,7,,,,3T73,S,317,8845.0,,,,03/03/2020,12:44:14 PM
4588,PD202000359435,,,96,,,,12,,,,5F64,H,521,9507.0,,,,05/04/2020,06:48:07 AM
4589,PD202000360127,,,43,,P,PROGRESS,15,,700.0,OLD HICKORY BLVD W,725A,M,723,1769.0,36.264,-86.735,POINT (-86.735 36.264),05/04/2020,11:20:02 AM
4590,PD202000177720,20200153094.0,,50,,R,REPORT,1,,,,,,,,,,,03/03/2020,10:19:47 PM
4591,PD202000175573,,,71,,A,ALARM,11,,,,,C,423N,4021.0,,,,03/03/2020,06:36:02 AM
4592,PD202000177141,,,43,,P,PROGRESS,4,,,,611B,N,611K,4425.0,,,,03/03/2020,07:05:16 PM
4593,PD202000357667,,,71,,A,ALARM,12,,,,5M76,H,513,,,,,05/03/2020,04:56:51 PM
4594,PD202000359782,,,87,,P,PROGRESS,4,,,,824A,MT,825N,7027.0,,,,05/04/2020,09:11:40 AM
4595,PD202000359111,,,43,,R,REPORT,4,,5600.0,OLD HICKORY BLVD,523C,,523,9557.0,36.176,-86.603,POINT (-86.603 36.176),05/04/2020,03:33:15 AM
4596,PD202000356710,,,44,,P,PROGRESS,6,,,,835A,MT,835,8653.0,,,,05/03/2020,07:58:46 AM
4597,PD202000356142,,,96,,,,15,,,,423C,C,421K,4105.0,,,,05/03/2020,01:06:06 AM
4598,PD202000357076,,,43,,P,PROGRESS,4,,100.0,RAYON DR,525A,525,525,9611.0,,,,05/03/2020,12:29:05 PM
4599,PD202000359065,,,96,,,,12,,600.0,OLD HICKORY BLVD,121C,,135T,0.0,36.11,-86.92200000000001,POINT (-86.922 36.11),05/04/2020,03:03:32 AM
4600,PD202000177247,,,44,,P,PROGRESS,4,,,,332B,S,335K,8927.0,,,,03/03/2020,07:47:03 PM
4601,PD202000361785,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,117B,W,117K,,,,,05/04/2020,09:46:06 PM
4602,PD202000176419,,,43,,A,ALARM,11,,,,725A,M,715,1703.0,,,,03/03/2020,01:24:28 PM
4603,PD202000361949,,,87,,T,TRAFFIC/DIRECTED TRAFFIC,5,,,,123C,W,125,4803.0,,,,05/04/2020,10:56:38 PM
4604,PD202000175448,,,87,,P,PROGRESS,4,,,,712C,N,617,4245.0,,,,03/03/2020,05:14:35 AM
4605,PD202000359627,20200315815.0,,43,,R,REPORT,1,,5500.0,CHARLOTTE PKE,111A,,132Y,0.0,36.150999999999996,-86.854,POINT (-86.854 36.151),05/04/2020,08:11:47 AM
4606,PD202000357156,,,43,,P,PROGRESS,4,,2200.0,26TH AV N,410B,,,,,,,05/03/2020,01:15:14 PM
4607,PD202000360734,,,92,,P,PROGRESS,4,,,,3510,E,215,1359.0,,,,05/04/2020,03:03:19 PM
4608,PD202000360525,20200316530.0,,44,,P,PROGRESS,11,,,,314B,S,331K,8717.0,,,,05/04/2020,01:49:20 PM
4609,PD202000175960,,,87,,P,PROGRESS,11,,,,,E,221N,1979.0,,,,03/03/2020,09:35:21 AM
4610,PD202000358009,,,87,,W,WARRANT ASSISTANCE ESCORT,4,,,,511B,H,513,9101.0,,,,05/03/2020,06:20:21 PM
4611,PD202000361097,,,43,,A,ALARM,11,,400.0,BARKLEY CT,313B,337,331,8755.0,36.036,-86.678,POINT (-86.678 36.036),05/04/2020,05:03:26 PM
4612,PD202000360526,,,88,,P,PROGRESS,11,,2300.0,ELM HILL PKE,,,,,,,,05/04/2020,01:49:48 PM
4613,PD202000361111,,,15,,P,PROGRESS,15,,,,5D56A,H,511N,8209.0,,,,05/04/2020,05:09:06 PM
4614,PD202000177488,,,92,,P,PROGRESS,6,,,,531B,H,515,9305.0,,,,03/03/2020,09:02:55 PM
4615,PD202000361797,,,87,,W,WARRANT ASSISTANCE ESCORT,6,,,,533C,H,531,8823.0,,,,05/04/2020,09:49:34 PM
4616,PD202000176510,,,43,,P,PROGRESS,4,,,,55S71,E,213,1219.0,,,,03/03/2020,02:11:38 PM
